2017-03-18 10:24:57 startup packages configure
2017-03-18 10:24:57 configure gcc-4.8-base:amd64 4.8.4-1 <none>
2017-03-18 10:24:57 status unpacked gcc-4.8-base:amd64 4.8.4-1
2017-03-18 10:24:57 status half-configured gcc-4.8-base:amd64 4.8.4-1
2017-03-18 10:24:58 status installed gcc-4.8-base:amd64 4.8.4-1
2017-03-18 10:24:58 configure lsb-base:all 4.1+Debian13+nmu1 <none>
2017-03-18 10:24:58 status unpacked lsb-base:all 4.1+Debian13+nmu1
2017-03-18 10:24:58 status half-configured lsb-base:all 4.1+Debian13+nmu1
2017-03-18 10:24:58 status installed lsb-base:all 4.1+Debian13+nmu1
2017-03-18 10:24:58 configure sensible-utils:all 0.0.9 <none>
2017-03-18 10:24:58 status unpacked sensible-utils:all 0.0.9
2017-03-18 10:24:58 status half-configured sensible-utils:all 0.0.9
2017-03-18 10:24:58 status installed sensible-utils:all 0.0.9
2017-03-18 10:24:58 configure ncurses-base:all 5.9+20140913-1 <none>
2017-03-18 10:24:58 status unpacked ncurses-base:all 5.9+20140913-1
2017-03-18 10:24:58 status half-configured ncurses-base:all 5.9+20140913-1
2017-03-18 10:24:58 status installed ncurses-base:all 5.9+20140913-1
2017-03-18 10:24:58 configure libsemanage-common:all 2.3-1 <none>
2017-03-18 10:24:58 status unpacked libsemanage-common:all 2.3-1
2017-03-18 10:24:58 status half-configured libsemanage-common:all 2.3-1
2017-03-18 10:24:58 status installed libsemanage-common:all 2.3-1
2017-03-18 10:24:58 configure gcc-4.9-base:amd64 4.9.2-10 <none>
2017-03-18 10:24:58 status unpacked gcc-4.9-base:amd64 4.9.2-10
2017-03-18 10:24:59 status half-configured gcc-4.9-base:amd64 4.9.2-10
2017-03-18 10:24:59 status installed gcc-4.9-base:amd64 4.9.2-10
2017-03-18 10:24:59 configure libaudit-common:all 1:2.4-1 <none>
2017-03-18 10:24:59 status unpacked libaudit-common:all 1:2.4-1
2017-03-18 10:24:59 status half-configured libaudit-common:all 1:2.4-1
2017-03-18 10:24:59 status installed libaudit-common:all 1:2.4-1
2017-03-18 10:24:59 configure multiarch-support:amd64 2.19-18+deb8u7 <none>
2017-03-18 10:24:59 status unpacked multiarch-support:amd64 2.19-18+deb8u7
2017-03-18 10:24:59 status half-configured multiarch-support:amd64 2.19-18+deb8u7
2017-03-18 10:24:59 status installed multiarch-support:amd64 2.19-18+deb8u7
2017-03-18 10:24:59 configure libc6:amd64 2.19-18+deb8u7 <none>
2017-03-18 10:24:59 status unpacked libc6:amd64 2.19-18+deb8u7
2017-03-18 10:24:59 status half-configured libc6:amd64 2.19-18+deb8u7
2017-03-18 10:25:00 status installed libc6:amd64 2.19-18+deb8u7
2017-03-18 10:25:00 configure libprocps3:amd64 2:3.3.9-9 <none>
2017-03-18 10:25:00 status unpacked libprocps3:amd64 2:3.3.9-9
2017-03-18 10:25:01 status half-configured libprocps3:amd64 2:3.3.9-9
2017-03-18 10:25:01 status installed libprocps3:amd64 2:3.3.9-9
2017-03-18 10:25:01 configure startpar:amd64 0.59-3 <none>
2017-03-18 10:25:01 status unpacked startpar:amd64 0.59-3
2017-03-18 10:25:01 status half-configured startpar:amd64 0.59-3
2017-03-18 10:25:01 status installed startpar:amd64 0.59-3
2017-03-18 10:25:01 configure libpcre3:amd64 2:8.35-3.3+deb8u4 <none>
2017-03-18 10:25:01 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2017-03-18 10:25:01 status half-configured libpcre3:amd64 2:8.35-3.3+deb8u4
2017-03-18 10:25:01 status installed libpcre3:amd64 2:8.35-3.3+deb8u4
2017-03-18 10:25:01 configure libbsd0:amd64 0.7.0-2 <none>
2017-03-18 10:25:01 status unpacked libbsd0:amd64 0.7.0-2
2017-03-18 10:25:01 status half-configured libbsd0:amd64 0.7.0-2
2017-03-18 10:25:01 status installed libbsd0:amd64 0.7.0-2
2017-03-18 10:25:01 configure libbz2-1.0:amd64 1.0.6-7+b3 <none>
2017-03-18 10:25:01 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2017-03-18 10:25:02 status half-configured libbz2-1.0:amd64 1.0.6-7+b3
2017-03-18 10:25:02 status installed libbz2-1.0:amd64 1.0.6-7+b3
2017-03-18 10:25:02 configure libkmod2:amd64 18-3 <none>
2017-03-18 10:25:02 status unpacked libkmod2:amd64 18-3
2017-03-18 10:25:02 status half-configured libkmod2:amd64 18-3
2017-03-18 10:25:02 status installed libkmod2:amd64 18-3
2017-03-18 10:25:02 configure libtasn1-6:amd64 4.2-3+deb8u2 <none>
2017-03-18 10:25:02 status unpacked libtasn1-6:amd64 4.2-3+deb8u2
2017-03-18 10:25:02 status half-configured libtasn1-6:amd64 4.2-3+deb8u2
2017-03-18 10:25:02 status installed libtasn1-6:amd64 4.2-3+deb8u2
2017-03-18 10:25:02 configure libgpg-error0:amd64 1.17-3 <none>
2017-03-18 10:25:02 status unpacked libgpg-error0:amd64 1.17-3
2017-03-18 10:25:02 status half-configured libgpg-error0:amd64 1.17-3
2017-03-18 10:25:02 status installed libgpg-error0:amd64 1.17-3
2017-03-18 10:25:03 configure libgmp10:amd64 2:6.0.0+dfsg-6 <none>
2017-03-18 10:25:03 status unpacked libgmp10:amd64 2:6.0.0+dfsg-6
2017-03-18 10:25:03 status half-configured libgmp10:amd64 2:6.0.0+dfsg-6
2017-03-18 10:25:03 status installed libgmp10:amd64 2:6.0.0+dfsg-6
2017-03-18 10:25:03 configure libc-bin:amd64 2.19-18+deb8u7 <none>
2017-03-18 10:25:03 status unpacked libc-bin:amd64 2.19-18+deb8u7
2017-03-18 10:25:03 status half-configured libc-bin:amd64 2.19-18+deb8u7
2017-03-18 10:25:03 status installed libc-bin:amd64 2.19-18+deb8u7
2017-03-18 10:25:03 configure libnettle4:amd64 2.7.1-5+deb8u2 <none>
2017-03-18 10:25:03 status unpacked libnettle4:amd64 2.7.1-5+deb8u2
2017-03-18 10:25:03 status half-configured libnettle4:amd64 2.7.1-5+deb8u2
2017-03-18 10:25:03 status installed libnettle4:amd64 2.7.1-5+deb8u2
2017-03-18 10:25:03 status triggers-pending libc-bin:amd64 2.19-18+deb8u7
2017-03-18 10:25:03 configure libdebconfclient0:amd64 0.192 <none>
2017-03-18 10:25:03 status unpacked libdebconfclient0:amd64 0.192
2017-03-18 10:25:04 status half-configured libdebconfclient0:amd64 0.192
2017-03-18 10:25:04 status installed libdebconfclient0:amd64 0.192
2017-03-18 10:25:04 configure libselinux1:amd64 2.3-2 <none>
2017-03-18 10:25:04 status unpacked libselinux1:amd64 2.3-2
2017-03-18 10:25:04 status half-configured libselinux1:amd64 2.3-2
2017-03-18 10:25:04 status installed libselinux1:amd64 2.3-2
2017-03-18 10:25:04 configure diffutils:amd64 1:3.3-1+b1 <none>
2017-03-18 10:25:04 status unpacked diffutils:amd64 1:3.3-1+b1
2017-03-18 10:25:04 status half-configured diffutils:amd64 1:3.3-1+b1
2017-03-18 10:25:04 status installed diffutils:amd64 1:3.3-1+b1
2017-03-18 10:25:04 configure insserv:amd64 1.14.0-5 <none>
2017-03-18 10:25:04 status unpacked insserv:amd64 1.14.0-5
2017-03-18 10:25:04 status half-configured insserv:amd64 1.14.0-5
2017-03-18 10:25:05 status installed insserv:amd64 1.14.0-5
2017-03-18 10:25:05 configure libffi6:amd64 3.1-2+b2 <none>
2017-03-18 10:25:05 status unpacked libffi6:amd64 3.1-2+b2
2017-03-18 10:25:05 status half-configured libffi6:amd64 3.1-2+b2
2017-03-18 10:25:05 status installed libffi6:amd64 3.1-2+b2
2017-03-18 10:25:05 configure libcomerr2:amd64 1.42.12-2+b1 <none>
2017-03-18 10:25:05 status unpacked libcomerr2:amd64 1.42.12-2+b1
2017-03-18 10:25:05 status half-configured libcomerr2:amd64 1.42.12-2+b1
2017-03-18 10:25:05 status installed libcomerr2:amd64 1.42.12-2+b1
2017-03-18 10:25:05 configure findutils:amd64 4.4.2-9+b1 <none>
2017-03-18 10:25:05 status unpacked findutils:amd64 4.4.2-9+b1
2017-03-18 10:25:05 status half-configured findutils:amd64 4.4.2-9+b1
2017-03-18 10:25:05 status installed findutils:amd64 4.4.2-9+b1
2017-03-18 10:25:05 configure libcap-ng0:amd64 0.7.4-2 <none>
2017-03-18 10:25:05 status unpacked libcap-ng0:amd64 0.7.4-2
2017-03-18 10:25:06 status half-configured libcap-ng0:amd64 0.7.4-2
2017-03-18 10:25:06 status installed libcap-ng0:amd64 0.7.4-2
2017-03-18 10:25:06 configure libkeyutils1:amd64 1.5.9-5+b1 <none>
2017-03-18 10:25:06 status unpacked libkeyutils1:amd64 1.5.9-5+b1
2017-03-18 10:25:06 status half-configured libkeyutils1:amd64 1.5.9-5+b1
2017-03-18 10:25:06 status installed libkeyutils1:amd64 1.5.9-5+b1
2017-03-18 10:25:06 configure net-tools:amd64 1.60-26+b1 <none>
2017-03-18 10:25:06 status unpacked net-tools:amd64 1.60-26+b1
2017-03-18 10:25:06 status half-configured net-tools:amd64 1.60-26+b1
2017-03-18 10:25:06 status installed net-tools:amd64 1.60-26+b1
2017-03-18 10:25:06 configure libslang2:amd64 2.3.0-2 <none>
2017-03-18 10:25:06 status unpacked libslang2:amd64 2.3.0-2
